Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_roc_raw_1:1_it2	t_wa_roc_raw_2:1_it2	roc	it2	1:1	raw	[]	it2	2:1	raw	[]	9.0	0.25	0.6320224719101124	Sin_diferencia
t_wa_roc_raw_1:1_it2	t_wa_roc_raw_1:2_it2	roc	it2	1:1	raw	[]	it2	1:2	raw	[]	16.0	0.84375	0.9887695312499999	Sin_diferencia
t_wa_roc_raw_1:1_it2	t_wa_roc_raw_1:3_it2	roc	it2	1:1	raw	[]	it2	1:3	raw	[]	13.0	0.546875	0.8884250902527077	Sin_diferencia
t_wa_roc_raw_2:1_it2	t_wa_roc_raw_1:2_it2	roc	it2	2:1	raw	[]	it2	1:2	raw	[]	9.0	0.25	0.6320224719101124	Sin_diferencia
t_wa_roc_raw_2:1_it2	t_wa_roc_raw_1:3_it2	roc	it2	2:1	raw	[]	it2	1:3	raw	[]	9.0	0.25	0.6320224719101124	Sin_diferencia
t_wa_roc_raw_1:2_it2	t_wa_roc_raw_1:3_it2	roc	it2	1:2	raw	[]	it2	1:3	raw	[]	15.0	0.7421875	0.943458686440678	Sin_diferencia
t_wa_roc_stand_3:1_it2	t_wa_roc_stand_1:1_it2	roc	it2	3:1	stand	[]	it2	1:1	stand	[]	0.0	0.0078125	0.13020833333333334	Sin_diferencia
t_wa_roc_stand_3:1_it2	t_wa_roc_stand_2:1_it2	roc	it2	3:1	stand	[]	it2	2:1	stand	[]	9.0	0.25	0.6320224719101124	Sin_diferencia
t_wa_roc_stand_3:1_it2	t_wa_roc_stand_1:2_it2	roc	it2	3:1	stand	[]	it2	1:2	stand	[]	3.0	0.0390625	0.2881659836065574	Sin_diferencia
t_wa_roc_stand_3:1_it2	t_wa_roc_stand_1:3_it2	roc	it2	3:1	stand	[]	it2	1:3	stand	[]	6.0	0.109375	0.46875	Sin_diferencia
t_wa_roc_stand_1:1_it2	t_wa_roc_stand_2:1_it2	roc	it2	1:1	stand	[]	it2	2:1	stand	[]	7.0	0.1484375	0.5178052325581395	Sin_diferencia
t_wa_roc_stand_1:1_it2	t_wa_roc_stand_1:2_it2	roc	it2	1:1	stand	[]	it2	1:2	stand	[]	12.0	0.4609375	0.8296874999999999	Sin_diferencia
t_wa_roc_stand_1:1_it2	t_wa_roc_stand_1:3_it2	roc	it2	1:1	stand	[]	it2	1:3	stand	[]	4.0	0.0909689479753577	0.44984644603198864	Sin_diferencia
t_wa_roc_stand_2:1_it2	t_wa_roc_stand_1:2_it2	roc	it2	2:1	stand	[]	it2	1:2	stand	[]	4.0	0.0909689479753577	0.44984644603198864	Sin_diferencia
t_wa_roc_stand_2:1_it2	t_wa_roc_stand_1:3_it2	roc	it2	2:1	stand	[]	it2	1:3	stand	[]	14.0	1.0	1.0	Sin_diferencia
t_wa_roc_stand_1:2_it2	t_wa_roc_stand_1:3_it2	roc	it2	1:2	stand	[]	it2	1:3	stand	[]	10.0	0.3125	0.7066582914572864	Sin_diferencia
t_wa_roc_norm_3:1_it2	t_wa_roc_norm_1:1_it2	roc	it2	3:1	norm	[]	it2	1:1	norm	[]	10.0	0.3125	0.7066582914572864	Sin_diferencia
t_wa_roc_norm_3:1_it2	t_wa_roc_norm_2:1_it2	roc	it2	3:1	norm	[]	it2	2:1	norm	[]	15.0	0.7421875	0.943458686440678	Sin_diferencia
