rcc	statistic	p-value	archivo	wilcox_bool	holmsidak_p	holmsidak_bool	bonfer_p	bonfer_bool	fdrbh_p	fdrbh_bool
30	35509020.0	3.595587480861926e-81	7YesLat_UnionPairs	1	0.0	True	1.111036531586335e-78	True	2.363907514013479e-80	True
31	43258825.5	1.683189455304287e-40	7YesLat_UnionPairs	1	0.0	True	5.201055416890247e-38	True	4.095319225897832e-40	True
32	55637428.5	1.3011404895036156e-05	7YesLat_UnionPairs	1	0.0007153759214729716	True	0.004020524112566172	True	1.5766761225749696e-05	True
33	47883315.5	4.1344865254594566e-23	7YesLat_UnionPairs	1	0.0	True	1.2775563363669721e-20	True	6.723980717720906e-23	True
34	53746121.0	1.7514909579835252e-08	7YesLat_UnionPairs	1	1.2961024843383129e-06	True	5.412107060169093e-06	True	2.29326570346148e-08	True
35	37425274.0	4.1136890112279475e-71	7YesLat_UnionPairs	1	0.0	True	1.2711299044694358e-68	True	1.9555844684145165e-70	True
36	32874854.0	2.9846192411645715e-98	7YesLat_UnionPairs	1	0.0	True	9.222473455198525e-96	True	4.6112367275992634e-97	True
37	34418094.5	5.186309391475605e-88	7YesLat_UnionPairs	1	0.0	True	1.602569601965962e-85	True	4.451582227683227e-87	True
38	44196970.5	1.310859154155748e-36	7YesLat_UnionPairs	1	0.0	True	4.050554786341261e-34	True	2.9351846277835223e-36	True
39	36849577.0	4.223114716890526e-73	7YesLat_UnionPairs	1	0.0	True	1.3049424475191725e-70	True	2.174904079198621e-72	True
40	43865540.0	6.319844906913362e-38	7YesLat_UnionPairs	1	0.0	True	1.952832076236229e-35	True	1.4794182395729008e-37	True
41	51521260.0	5.086937236487621e-13	7YesLat_UnionPairs	1	4.68007854692587e-11	True	1.5718636060746748e-10	True	7.210383514104013e-13	True
42	57230824.5	8.116956543131856e-08	7YesLat_UnionPairs	1	5.844191868775717e-06	True	2.5081395718277437e-05	True	1.0538401562301444e-07	True
43	36379272.0	3.68286188573319e-79	7YesLat_UnionPairs	1	0.0	True	1.1380043226915557e-76	True	2.2760086453831116e-78	True
44	29444123.5	3.133014948568392e-123	7YesLat_UnionPairs	1	0.0	True	9.681016191076332e-121	True	4.840508095538166e-121	True
45	32753190.5	2.3492304583976565e-99	7YesLat_UnionPairs	1	0.0	True	7.259122116448759e-97	True	3.82059058760461e-98	True
46	31338962.5	2.9668189921770684e-109	7YesLat_UnionPairs	1	0.0	True	9.167470685827141e-107	True	1.1459338357283927e-107	True
47	31105028.0	1.1637255950104556e-110	7YesLat_UnionPairs	1	0.0	True	3.5959120885823075e-108	True	5.137017269403297e-109	True
48	39236626.0	5.657151557710021e-60	7YesLat_UnionPairs	1	0.0	True	1.7480598313323966e-57	True	2.131780282112679e-59	True
49	40389777.5	1.9116222706528783e-55	7YesLat_UnionPairs	1	0.0	True	5.906912816317394e-53	True	6.089600841564324e-55	True
50	46308057.5	1.469804526345138e-28	7YesLat_UnionPairs	1	0.0	True	4.541695986406477e-26	True	2.769326820979559e-28	True
51	44738755.5	2.1400952728701896e-34	7YesLat_UnionPairs	1	0.0	True	6.612894393168885e-32	True	4.529379721348552e-34	True
52	41676745.0	1.2714222164488364e-47	7YesLat_UnionPairs	1	0.0	True	3.928694648826905e-45	True	3.4162562163712213e-47	True
1	36837057.5	2.843187390145108e-73	7NoLat_SumPairs	1	0.0	True	8.785449035548384e-71	True	1.4890591585675226e-72	True
2	41378917.5	4.684612101819991e-49	7NoLat_SumPairs	1	0.0	True	1.4475451394623772e-46	True	1.2697764381248922e-48	True
3	60380639.5	0.3000263980037584	7NoLat_SumPairs	0	0.986164975197447	False	1.0	False	0.3111011979300716	False
4	58964547.0	0.03460708238918772	7NoLat_SumPairs	1	0.570563849261531	False	1.0	False	0.03739016943447205	True
5	35463837.0	1.8614756139853683e-81	7NoLat_SumPairs	1	0.0	True	5.751959647214788e-79	True	1.2504260102640842e-80	True
6	45035648.5	3.1932981323029304e-33	7NoLat_SumPairs	1	0.0	True	9.867291228816055e-31	True	6.534629952858315e-33	True
7	38479463.5	7.535159103524148e-64	7NoLat_SumPairs	1	0.0	True	2.3283641629889617e-61	True	3.1044855506519485e-63	True
8	56301118.0	0.0001839717601899557	7NoLat_SumPairs	1	0.007880299805398505	True	0.05684727389869631	False	0.00021291113819736448	True
9	60590025.0	1.6554410644468197e-18	7NoLat_SumPairs	1	0.0	True	5.115312889140673e-16	True	2.5323331134359765e-18	True
10	60477090.0	0.25409614366080296	7NoLat_SumPairs	0	0.977875315715479	False	1.0	False	0.2643626545157849	False
11	44399957.0	2.0772306972638704e-36	7NoLat_SumPairs	1	0.0	True	6.41864285454536e-34	True	4.617728672334791e-36	True
12	51683754.0	1.0324936367015834e-12	7NoLat_SumPairs	1	9.3958174574027e-11	True	3.190405337407893e-10	True	1.4568060901405902e-12	True
13	39558054.5	1.0184081289403134e-58	7NoLat_SumPairs	1	0.0	True	3.146881118425568e-56	True	3.576001270938146e-58	True
14	40975790.5	5.721665656224017e-51	7NoLat_SumPairs	1	0.0	True	1.7679946877732214e-48	True	1.6370321183085383e-50	True
15	44979310.5	2.010957773123545e-33	7NoLat_SumPairs	1	0.0	True	6.213859518951755e-31	True	4.170375516075003e-33	True
17	61079380.0	0.4011325667565304	7NoLat_SumPairs	0	0.9873241727118018	False	1.0	False	0.40773014186765755	False
18	60824032.0	0.04246320424718545	7NoLat_SumPairs	1	0.6313825828395718	False	1.0	False	0.045718223388084685	True
19	60196448.0	0.003065858214489665	7NoLat_SumPairs	1	0.09358512900458871	False	0.9473501882773065	False	0.0034077344902061386	True
20	59050147.0	1.4463655393275816e-05	7NoLat_SumPairs	1	0.0007662855327943419	True	0.004469269516522227	True	1.7390153760786877e-05	True
21	55984864.5	5.280829780230156e-07	7NoLat_SumPairs	1	3.379674839376623e-05	True	0.00016317764020911183	True	6.633237406874464e-07	True
22	52240492.5	3.8277219805181565e-16	7NoLat_SumPairs	1	3.430589146091734e-14	True	1.1827660919801103e-13	True	5.713845854976378e-16	True
23	59130547.5	0.004887289826282165	7NoLat_SumPairs	1	0.14090641987110497	False	1.0	False	0.0054128048613662685	True
24	55960084.0	1.7199966775115362e-05	7NoLat_SumPairs	1	0.0008940061024096391	True	0.005314789733510647	True	2.059996020740561e-05	True
25	53494921.0	3.200877710826962e-09	7NoLat_SumPairs	1	2.59271058400401e-07	True	9.890712126455312e-07	True	4.319088264827647e-09	True
26	48833819.5	2.140533330836943e-20	7NoLat_SumPairs	1	0.0	True	6.614247992286154e-18	True	3.357486290500586e-20	True
1	45982913.0	1.2250843550049003e-29	7YesLat_SumPairs	1	0.0	True	3.785510656965142e-27	True	2.3367349734352728e-29	True
2	56237323.5	0.00014261496466874292	7YesLat_SumPairs	1	0.006436250909640062	True	0.044068024082641565	True	0.0001656692634685773	True
3	41262390.5	4.2461325553055793e-50	7YesLat_SumPairs	1	0.0	True	1.312054959589424e-47	True	1.171477642490557e-49	True
4	33748604.0	2.2388715910077636e-92	7YesLat_SumPairs	1	0.0	True	6.91811321621399e-90	True	2.4707547200764245e-91	True
5	44542389.0	3.748848759490075e-35	7YesLat_SumPairs	1	0.0	True	1.1583942666824331e-32	True	8.044404629739119e-35	True
6	60470877.5	0.32146720753573793	7YesLat_SumPairs	0	0.986164975197447	False	1.0	False	0.3314169625947805	False
7	48814732.5	3.2626574002964194e-20	7YesLat_SumPairs	1	0.0	True	1.0081611366915936e-17	True	5.0917229125838057e-20	True
8	46750794.0	4.967305054252511e-27	7YesLat_SumPairs	1	0.0	True	1.5348972617640257e-24	True	9.08223231813033e-27	True
9	35473110.0	6.700873423078256e-82	7YesLat_SumPairs	1	0.0	True	2.0705698877311812e-79	True	4.705840653934503e-81	True
10	32290181.5	3.026819268741701e-102	7YesLat_SumPairs	1	0.0	True	9.352871540411856e-100	True	7.194516569547581e-101	True
11	33353674.5	5.465581973618913e-95	7YesLat_SumPairs	1	0.0	True	1.688864829848244e-92	True	6.495633960954785e-94	True
12	45529365.5	2.516111476042788e-31	7YesLat_SumPairs	1	0.0	True	7.774784460972215e-29	True	5.015989974820783e-31	True
13	37030381.0	5.079551257273277e-72	7YesLat_SumPairs	1	0.0	True	1.5695813384974427e-69	True	2.4913989499959406e-71	True
14	44085395.0	5.2196708192632604e-37	7YesLat_SumPairs	1	0.0	True	1.6128782831523475e-34	True	1.1859399140826084e-36	True
15	50596331.5	2.843460092828102e-15	7YesLat_SumPairs	1	2.915445662665661e-13	True	8.786291686838835e-13	True	4.203967314276955e-15	True
16	57563058.0	1.2388297699074018e-05	7YesLat_SumPairs	1	0.0006935083801674624	True	0.0038279839890138713	True	1.5070803106353824e-05	True
17	36840865.5	2.0762884086379187e-74	7YesLat_SumPairs	1	0.0	True	6.415731182691168e-72	True	1.1255668741563453e-73	True
18	29242962.0	1.386220502802477e-124	7YesLat_SumPairs	1	0.0	True	4.2834213536596535e-122	True	4.2834213536596535e-122	True
19	33553940.0	9.966498119987325e-94	7YesLat_SumPairs	1	0.0	True	3.0796479190760835e-91	True	1.1406103403985493e-92	True
20	32449946.0	3.3102763313698395e-101	7YesLat_SumPairs	1	0.0	True	1.0228753863932804e-98	True	6.81916924262187e-100	True
21	31367841.0	9.451189168657142e-109	7YesLat_SumPairs	1	0.0	True	2.920417453115057e-106	True	3.244908281238952e-107	True
22	40035337.5	1.0785363820170222e-55	7YesLat_SumPairs	1	0.0	True	3.3326774204325985e-53	True	3.508081495192209e-55	True
23	39199661.0	1.3478543065947488e-60	7YesLat_SumPairs	1	0.0	True	4.164869807377774e-58	True	5.141814577009598e-60	True
24	46941046.0	2.948448239594778e-26	7YesLat_SumPairs	1	0.0	True	9.110705060347864e-24	True	5.1472909945468165e-26	True
25	43878989.5	7.157072080885027e-38	7YesLat_SumPairs	1	0.0	True	2.2115352729934736e-35	True	1.6628084759349425e-37	True
26	44003402.0	2.399274842045545e-37	7YesLat_SumPairs	1	0.0	True	7.413759261920734e-35	True	5.491673527348692e-37	True
1	60799638.0	0.41442147107224747	8YesLat_UnionPairs	0	0.9873241727118018	False	1.0	False	0.41712128521604064	False
2	59155100.5	0.04473387900343127	8YesLat_UnionPairs	1	0.6346271591570095	False	1.0	False	0.04799572434743147	True
3	51048559.5	2.14762339036311e-21	8YesLat_UnionPairs	1	0.0	True	6.63615627622201e-19	True	3.45633139386563e-21	True
4	40650655.0	1.265421899283547e-52	8YesLat_UnionPairs	1	0.0	True	3.91015366878616e-50	True	3.833483989006039e-52	True
5	47754867.5	1.528942244101423e-23	8YesLat_UnionPairs	1	0.0	True	4.724431534273397e-21	True	2.5129954969539347e-23	True
6	50145538.0	9.816396681453426e-25	8YesLat_UnionPairs	1	0.0	True	3.033266574569109e-22	True	1.666629986026983e-24	True
7	58077940.0	0.01197250618125443	8YesLat_UnionPairs	1	0.27762317248816304	False	1.0	False	0.013072453745609962	True
8	41976557.5	3.631401356408366e-50	8YesLat_UnionPairs	1	0.0	True	1.122103019130185e-47	True	1.0109036208380046e-49	True
9	30677577.0	5.96840153942079e-114	8YesLat_UnionPairs	1	0.0	True	1.844236075681024e-111	True	3.073726792801707e-112	True
10	34728944.5	4.962443258648019e-86	8YesLat_UnionPairs	1	0.0	True	1.533394966922238e-83	True	3.931781966467277e-85	True
11	44488399.0	2.2087795186189377e-35	8YesLat_UnionPairs	1	0.0	True	6.825128712532518e-33	True	4.806428670797548e-35	True
12	55832447.0	4.452834383855762e-05	8YesLat_UnionPairs	1	0.002223990024080913	True	0.013759258246114304	True	5.2920224023516556e-05	True
13	49228638.5	5.153997405912152e-19	8YesLat_UnionPairs	1	0.0	True	1.592585198426855e-16	True	8.002940695612337e-19	True
14	53497228.0	6.7968657281999004e-09	8YesLat_UnionPairs	1	5.369522508846813e-07	True	2.1002315100137693e-06	True	9.091911298760906e-09	True
15	51802108.5	1.1115696455443338e-12	8YesLat_UnionPairs	1	1.000399763029236e-10	True	3.4347502047319915e-10	True	1.5612500930599962e-12	True
16	34714107.0	3.657002771051809e-90	8YesLat_UnionPairs	1	0.0	True	1.130013856255009e-87	True	3.5312933007969025e-89	True
17	30225720.0	3.566945688503006e-117	8YesLat_UnionPairs	1	0.0	True	1.1021862177474289e-114	True	3.6739540591580967e-115	True
18	32410844.0	2.0062942953808802e-101	8YesLat_UnionPairs	1	0.0	True	6.19944937272692e-99	True	4.428178123376371e-100	True
19	35373692.5	5.46429416206363e-82	8YesLat_UnionPairs	1	0.0	True	1.6884668960776614e-79	True	3.9266672001806076e-81	True
20	43150524.5	5.519244374062429e-41	8YesLat_UnionPairs	1	0.0	True	1.7054465115852905e-38	True	1.3535289774486432e-40	True
